qnum,question,mode,semantic_score,graph_score,delta,semantic_status,graph_status,graph_available,graph_mismatches,graph_meta_mismatch
46,Which documents do I need to bring to passport control in Las Palmas?,single,0.1212121212121212,1.0,-0.8787878787878788,🟥,🟩,True,,
47,Which documents do I need to bring to passport control in Seville?,single,0.10810810810810811,1.0,-0.8918918918918919,🟥,🟩,True,,
48,Which documents do I need to bring to passport control in Italy?,single,0.10344827586206896,1.0,-0.896551724137931,🟥,🟩,True,,
49,Which documents do I need to bring to passport control in Spain?,single,0.29885057471264365,1.0,-0.7011494252873564,🟥,🟩,True,,
50,In which city in Germany are the most documents requested?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
51,Which question topics are most common at passport control in Italy?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
52,Which question topics are most common at passport control in Spain?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
53,How often are fingerprints taken when entering Spain?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
54,How often are fingerprints taken when entering Italy?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
55,Which airport do people most often fly into in Italy?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
56,Which airport do people most often fly into in Germany?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
57,Which airport do people most often fly into in Spain?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
58,Which city is the most popular entry point into Germany?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
59,Which city is the most popular entry point into Italy?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
60,Which city is the most popular entry point into Spain?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
61,Through which country do travelers most often pass with 'no questions'?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
62,Which is more common in Germany: a request to show cash or a card?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
63,Which is more common in Italy: a request to show cash or a card?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
64,In which city in Italy are the most documents requested?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
65,In which city in Spain are the most documents requested?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
66,In which city in France is hotel booking requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
67,In which city in Germany is hotel booking requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
68,In which city in Italy is hotel booking requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
69,In which city in Spain is hotel booking requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
70,In which city in Germany is a return ticket requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
71,In which city in Italy is a return ticket requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,intents
72,In which city in Spain is a return ticket requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
73,In which country are people most often requested to show hotel booking?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
74,In which city in France are people most often requested to show hotel booking?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
75,In which city in Germany are people most often requested to show accommodation booking?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
76,In which city in Italy are people most often requested to show hotel booking?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
77,In which city in Spain are people most often requested to show hotel booking?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,"intents, doc_types, topic_keys, aggregate"
78,In which country are people most often asked about money?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
79,In which city in France are people most often asked about money?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,topic_keys
80,In which city in Germany are people most often asked about money?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
81,In which city in Spain are people most often asked about money?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
82,In which city in Italy are people most often asked about money?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
83,Where is passport control most often limited to only the passport?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,"intents, doc_types, aggregate"
84,Which is more common in France: a request to show cash or a card?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
85,Which is more common in Spain: a request to show cash or a card?,aggregate,OK,OK,,🟩,🟩,True,,
86,In which country are visas requested most often at passport control?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,intents
87,In which city in Germany are hotel bookings requested most often?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,intents
88,In which airport in France are return tickets requested most often?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,"intents, scope, aggregate"
89,In which country are travelers most often asked about visit duration?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
90,In which country are fingerprints checked most often at passport control?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,
91,In which city in Italy is face photo capture used most often?,aggregate,OK,НЕ ОК,,🟩,🟥,True,aggregate_output,
92,Which country has the highest number of encounters with no questions asked?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,topic_keys
93,"In which country is passport-only control (no questions, only foreign passport) most common?",aggregate,НЕ ОК,OK,,🟥,🟩,True,,
94,Which country has the highest number of document checks per encounter?,aggregate,НЕ ОК,НЕ ОК,,🟥,🟥,True,aggregate_output,aggregate
95,Which city in Italy has the highest number of question topics per encounter?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
96,Which city in Germany has more encounters with visa checks than with return ticket checks?,aggregate,НЕ ОК,OK,,🟥,🟩,True,,
97,What documents are checked and what question topics are asked in Madrid?,union,0.7368421052631579,1.0,-0.26315789473684215,🟥,🟩,True,,
98,Which documents are checked in Rome but not in Barcelona?,difference,0.06201550387596899,0.8986175115207373,-0.8366020076447683,🟥,🟥,True,,
99,Which documents are checked for travelers who were asked about visit_purpose in Spain?,conditional,0.0,1.0,-1.0,🟥,🟩,True,,
100,Which question topics are asked for travelers whose documents include return_ticket in France?,conditional,0.0,0.9897610921501706,-0.9897610921501706,🟥,🟥,True,,
101,Show document checks and biometric modalities for the same encounters in Germany.,intersect,0.0,1.0,-1.0,🟥,🟩,True,,
